Symbol,Company Name,Industry,Market Cap
RPM,RPM International,Chemicals,10550
RPRX,Royalty Pharma,Pharmaceuticals,26270
RRX,Regal Rexnord,Specialty Industrial Machinery,10530
RS,Reliance Steel & Aluminum Co.,Metals & Mining,11650
RSG,Republic Services,Commercial Services & Supplies,41130
RTX,Raytheon Technologies,Aerospace & Defense,149980
RY,Royal Bank of Canada,Banks,153990
RYAAY,Ryanair Holdings,Airlines,18980
S,SentinelOne,Software-Infrastructure,10220
SAN,Banco Santander,Banks,51590
SAP,SAP SE,Software,127320
SBAC,SBA Communications,Equity Real Estate Investment Trusts ...,35710
SBNY,Signature Bank,Banks,18480
SBSW,Sibanye Stillwater,Metals & Mining,14330
SBUX,Starbucks,"Hotels, Restaurants & Leisure",104960
SCCO,Southern Copper,Metals & Mining,59220
SCHW,The Charles Schwab Corporation,Capital Markets,152100
SE,Sea Limited,Entertainment,54350
SEDG,SolarEdge Technologies,Semiconductors & Semiconductor Equipment,16140
SGEN,Seagen,Biotechnology,24240
SHEL,Shell,"Oil, Gas & Consumable Fuels",199720
SHG,Shinhan Financial Group Co.,Banks,15900
SHOP,Shopify,IT Services,77390
SHW,The Sherwin-Williams Company,Chemicals,67300
SIRI,Sirius XM Holdings,Media,24360
SIVB,SVB Financial Group,Banks,31940
SJM,The J. M. Smucker Company,Food Products,14510
SJR,Shaw Communications,Media,15060
SKM,SK Telecom Co.,Wireless Telecommunication Services,10140
SLB,Schlumberger,Energy Equipment & Services,56060
SLF,Sun Life Financial,Insurance,30590
SMFG,Sumitomo Mitsui Financial Group,Banks,47160
SNA,Snap-on,Machinery,11090
SNAP,"Snap, Inc.",Interactive Media & Services,53750
SNN,Smith & Nephew,Health Care Equipment & Supplies,14610
SNOW,Snowflake,IT Services,64220
SNP,China Petroleum & Chemical,"Oil, Gas & Consumable Fuels",80810
SNPS,Synopsys,Software,47320
SNX,Synnex,"Electronic Equipment, Instruments & C...",10020
SNY,Sanofi,Pharmaceuticals,123190
SO,The Southern Company,Electric Utilities,71650
SONY,Sony Group,Household Durables,123900
SPG,Simon Property Group,Equity Real Estate Investment Trusts ...,51450
SPGI,S&P Global,Capital Markets,144420
SPLK,Splunk,Software,20490
SPOT,Spotify Technology,Entertainment,27750
SQ,Block,IT Services,61790
SQM,Sociedad Quimica y Minera de Chile,Chemicals,22320
SRE,Sempra Energy,Multi-Utilities,47950
SSL,Sasol,Chemicals,15550
SSNC,SS&C Technologies Holdings,Software,19400
STE,Steris,Health Care Equipment & Supplies,24550
STLA,Stellantis,Automobiles,49260
STLD,Steel Dynamics,Metals & Mining,14800
STM,STMicroelectronics,Semiconductors & Semiconductor Equipment,34950
STT,State Street,Capital Markets,29470
STX,Seagate Technology Holdings,"Technology Hardware, Storage & Periph...",22590
STZ,Constellation Brands,Beverages,41240
SU,Suncor Energy,"Oil, Gas & Consumable Fuels",45050
SUI,Sun Communities,Equity Real Estate Investment Trusts ...,21530
SUZ,Suzano,Paper & Forest Products,15220
SWK,Stanley Black & Decker,Machinery,26410
SWKS,Skyworks Solutions,Semiconductors & Semiconductor Equipment,22290
