Symbol,Company Name,Industry,Market Cap
AQB,AquaBounty Technologies,Biotechnology,108
AQMS,Aqua Metals,Commercial Services & Supplies,75
AQN,Algonquin Power & Utilities,Multi-Utilities,9880
AQST,Aquestive Therapeutics,Pharmaceuticals,116
AQUA,Evoqua Water Technologies,Machinery,5160
AR,Antero Resources,"Oil, Gas & Consumable Fuels",8000
ARAV,Aravive,Biotechnology,43
ARAY,Accuray,Health Care Equipment & Supplies,314
ARBE,Arbe Robotics,Software-Infrastructure,433
ARBG,Aequi Acquisition,Blank Check / SPAC,282
ARBK,Argo Blockchain,Capital Markets,375
ARC,ARC Document Solutions,Commercial Services & Supplies,157
ARCB,ArcBest,Road & Rail,2170
ARCC,Ares Capital,Capital Markets,10500
ARCE,Arco Platform,Diversified Consumer Services,1020
ARCH,Arch Resources,"Oil, Gas & Consumable Fuels",2350
ARCK,Arbor Rapha Capital Bioholdings I,Blank Check / SPAC,216
ARCO,Arcos Dorados Holdings,"Hotels, Restaurants & Leisure",1580
ARCT,Arcturus Therapeutics Holdings,Biotechnology,497
ARDS,Aridis Pharmaceuticals,Biotechnology,25
ARDX,Ardelyx,Biotechnology,120
ARE,Alexandria Real Estate Equities,Equity Real Estate Investment Trusts ...,31130
AREC,American Resources,"Oil, Gas & Consumable Fuels",144
AREN,Arena Group Holdings,Internet Content & Information,2090
ARES,Ares Management,Capital Markets,14120
ARGO,Argo Group International Holdings,Insurance,1480
ARGU,Argus Capital,Blank Check / SPAC,378
ARGX,Argenx SE,Biotechnology,13720
ARHS,Arhaus,Home Improvement Retail,1450
ARI,Apollo Commercial Real Estate Finance,Mortgage Real Estate Investment Trust...,1870
ARIS,Aris Water Solutions,Utilities-Regulated Water,862
ARIZ,Arisz Acquisition,Blank Check / SPAC,87
ARKO,ARKO Corp.,Grocery Stores,1030
ARKR,Ark Restaurants,"Hotels, Restaurants & Leisure",65
ARL,American Realty Investors,Real Estate Management & Development,219
ARLO,Arlo Technologies,"Electronic Equipment, Instruments & C...",913
ARLP,Alliance Resource Partners,"Oil, Gas & Consumable Fuels",1950
ARMK,Aramark,"Hotels, Restaurants & Leisure",9350
ARMP,Armata Pharmaceuticals,Biotechnology,154
ARNA,Arena Pharmaceuticals,Biotechnology,5820
ARNC,Arconic,Aerospace & Defense,2850
AROC,Archrock,Energy Equipment & Services,1370
AROW,Arrow Financial,Banks,558
ARQQ,Arqit Quantum,Software-Infrastructure,1800
ARQT,Arcutis Biotherapeutics,Biotechnology,846
ARR,ARMOUR Residential REIT,Mortgage Real Estate Investment Trust...,794
ARRW,Arrowroot Acquisition,Blank Check / SPAC,350
ARRY,Array Technologies,Solar,1370
ARTA,Artisan Acquisition,Blank Check / SPAC,436
ARTE,Artemis Strategic Investment,Blank Check / SPAC,249
ARTL,Artelo Biosciences,Pharmaceuticals,17
ARTNA,Artesian Resources,Water Utilities,461
ARTW,Art's-Way Manufacturing Co.,Machinery,20
ARVL,Arrival,Auto Manufacturers,2040
ARVN,Arvinas,Pharmaceuticals,3420
ARW,Arrow Electronics,"Electronic Equipment, Instruments & C...",8160
ARWR,Arrowhead Pharmaceuticals,Biotechnology,4730
ARYD,ARYA Sciences Acquisition IV,Blank Check / SPAC,188
ARYE,Arya Sciences Acquisition V,Blank Check / SPAC,186
ASA,ASA Gold and Precious Metals,Capital Markets,446
ASAI,Sendas Distribuidora,Food & Staples Retailing,3370
